"右上葉の肺門部扁平上皮がんを示唆する特徴的な画像所見はどれか。,シルエットサイン,バタフライシャドウ,トラムライン,Golden's S sign,ポップコーン状石灰化,選択肢4,資料には「Golden's S signは右上葉部における肺門部扁平上皮癌を示唆する陰影である」とあります [2]。"
"肺小細胞がんの臨床的特徴として正しいものはどれか。,最も予後が良く、進行が遅い,喫煙との関連が全くない,早期に転移を起こしやすく悪性度が高い,主に肺野末梢に淡い陰影を呈する,手術が第一選択となることが多い,選択肢3,資料には「肺がんの中で最も悪性度が高く早期に転移を起こしやすい」と記載されています [2]。"
"肺腺がんに関する記述のうち、資料に基づき適切なものはどれか。,喫煙者に最も多く見られる,主に肺門部に発生する,進行が極めて遅い,肺野末梢の淡い陰影が特徴である,石灰化を伴うことが必須である,選択肢4,資料によれば、腺がんは「肺野末梢の淡い陰影が特徴」です。なお「喫煙者に多い」という記述は設問16で誤りとされています [2]。"
"肺への転移性悪性腫瘍について、主な転移経路はどれか。,直接浸潤,リンパ行性転移,血行性転移,気道性散布,経口感染,選択肢3,資料の設問17では「ほとんどリンパ行性転移である」という記述が誤りとされています。一般に肺への転移は血行性が多いです [2]。"
"肺過誤腫に特徴的なX線所見はどれか。,辺縁がギザギザしている,内部に空洞がある,ポップコーン状の石灰化がある,Golden's S signを伴う,エアーブロンコグラムを伴う,選択肢3,資料には「ポップコーン状の石灰化陰影が特徴的」と記載されています [2]。"
"胸水（液体）の検出感度が最も高い撮影条件はどれか。,立位正面像,仰臥位正面像,立位側面像,側臥位正面像（デクビタス）,斜位像,選択肢4,資料の設問19では「立位正面像が最も高い」という記述が誤りとされています。少量の胸水は重力で溜まる側臥位（デクビタス）でより検出されやすくなります [2]。"
"気胸の画像所見において認められる特徴はどれか。,肺紋理の増強,X線透過性の減少,肺紋理の消失と透過性の亢進,心陰影の右側へのシフト,横隔膜の挙上,選択肢3,資料の設問20では「肺紋理の増強と透過性の減少」という記述が誤りとされています。気胸では肺が縮むため、紋理が消え、空気で黒く（透過性亢進）なります [2]。"
"大葉性肺炎の画像的特徴として適切なものはどれか。,肺野全体に散らばる小粒状影,肺葉単位のコンソリデーションとエアーブロンコグラム,胸膜移行部の鋭角な病変,肺紋理の樹枝状の消失,境界の明瞭な腫瘤影,選択肢2,資料によれば「大葉性肺炎ではコンソリデーションを呈しその中にエアーブロンコグラムが認められる」のが特徴です [3]。"
"気管支肺炎の画像所見について正しい記述はどれか。,全肺葉を一様に侵す,通常エアーブロンコグラムを伴う,通常エアーブロンコグラムは認めない,必ず胸水を伴う,ポップコーン状石灰化を伴う,選択肢3,資料には「気管支肺炎で、X線写真ではエアーブロンコグラムは認めない」と記載されています [3]。"
"肺結核の感染様式として正しいものはどれか。,経口感染,空気感染（飛沫感染）,接触感染,血液感染,昆虫媒介感染,選択肢2,資料には「肺結核の感染様式は飛沫感染であり」と記載されています [3]。"
"気管支拡張症において、肥厚した気管支壁が平行な2本の線として見える所見を何と呼ぶか。,シルエットサイン,トラムライン,S sign,バタフライシャドウ,ニボー,選択肢2,資料には「気管支拡張症のX線所見にトラムラインがあり気管支壁の肥厚を意味する」とあります [3]。"
"気腫型COPD（肺気腫）で見られる画像所見はどれか。,肺野のX線透過性亢進と肺紋理の減少,肺野の透過性減少,心陰影の拡大,横隔膜の挙上,肺紋理の増強,選択肢1,資料には「肺野のX線透過性亢進、肺紋理の減少などが観察される」と記載されています [3]。"
"右肺中葉の病変により、胸部正面像で右心縁（右第2弓）が消失している。これを何と呼ぶか。,Golden's S sign,エアーブロンコグラム,シルエットサイン陽性,エキストラプルーラルサイン陽性,バタフライシャドウ,選択肢3,心臓などの特定の臓器と接する部位に病変があり、その境界が消える現象を「シルエットサイン陽性」と呼びます [1]。"
"画像Aに示される、両肺野に多発する大小不同の丸い結節影（cannon ball appearance）から最も考えられるのはどれか。,肺結核,肺気腫,転移性肺がん,腺がん,肺炎,選択肢3,資料の画像Aは、血行性転移の特徴である「転移性肺がん」の多発結節影を示しています [3]。"
"画像Bに示される、肺門部の腫瘤と右上葉の無気肺によるS字状の境界線（Golden's S sign）から考えられる疾患はどれか。,腺がん,大細胞がん,扁平上皮がん,小細胞がん,気胸,選択肢3,資料によれば、画像Bに見られるS signは「肺門部扁平上皮癌」を示唆する所見です [2][3]。"
"画像Eに示される、肺底部から外側にかけての透過性減少と上縁が凹の曲線（メニスカスライン）を呈する状態はどれか。,肺炎,胸水,気胸,肺がん,肺気腫,選択肢2,画像Eは、胸腔内に液体が貯留した「胸水」の典型的な所見です [3]。"
"画像Fに示される、肺野の透過性が非常に高く、横隔膜が低く平坦になっている所見から考えられる疾患はどれか。,大葉性肺炎,気管支拡張症,肺気腫,転移性肺がん,肺過誤腫,選択肢3,画像Fは肺胞の破壊と過膨張を示す「肺気腫（気腫型COPD）」の典型像です [3]。"
"画像Gに示される、拡張した気管支が線状に見える「トラムライン」を特徴とする疾患はどれか。,気管支拡張症,大葉性肺炎,腺がん,肺結核,小細胞がん,選択肢1,画像Gは気管支の壁が肥厚し、拡張して見える「気管支拡張症」を示しています [3]。"
"画像Hに示される、肺葉全体（この場合は右下葉付近）に広がる均等な高吸収域とエアーブロンコグラムから推測される疾患はどれか。,肺がん,大葉性肺炎,気腫型COPD,気胸,胸水,選択肢2,画像Hは肺胞が炎症で満たされた「大葉性肺炎」のコンソリデーション像です [3]。"
